FID,os_id,name,slug,alt_name,address,phone,parktype_i,parkowner_,friendsgro,access,area,psid,ps_name,imgur_id,img_url
0,35-1,St Elizabeth's Hospital Campus,st-elizabeths-hospital-campus,,,,3,15,0,u,"19,680.19",1,St. Elizabeth's Hospital Campus,1,http://imgur.com/v6mNVoZ.jpg
1,35-2,Brighton HS Hillside,brighton-hs-hillside,,,,3,6,0,y,"5,779.14",2,Brighton HS Hillside,2,http://imgur.com/UxrCr0Z.jpg
2,35-3,North Beacon Allee,north-beacon-allee,Mount St. Joseph's Athletic Fields,,,7,15,0,u,"3,403.02",3,North Beacon Allee,3,http://imgur.com/Tuc42pZ.jpg
3,35-4,St John Chrysostom Tract,st-john-chrysostom-tract,,,,11,15,0,u,"17,420.51",4,St. John Chrysostom Tract,4,http://imgur.com/5a6hWE6.jpg
4,35-5,Brian Honan Park,brian-honan-park,,,,5,15,0,y,"1,903.21",5,Brian Honan Park,5,http://imgur.com/ib5Zawf.jpg
5,35-6,Sprague Pond Lakeside Access,sprague-pond-lakeside-access,,,,11,15,0,u,"4,325.29",6,Sprague Pond Lakeside Access,6,http://imgur.com/czPngXB.jpg
6,35-7,Allandale Woods II,allandale-woods-ii,,,,11,6,0,y,"42,854.38",472,Allandale Woods,7,http://imgur.com/N5fQxtX.jpg
7,35-9,Blake Estates Urban Wild,blake-estates-urban-wild,,,,11,6,0,y,"1,016.50",8,Blake Estates Urban Wild,8,http://imgur.com/ZF5B8si.jpg
8,35-10,Canterbury Brookside II,canterbury-brookside-ii,,,,3,15,0,u,"1,998.63",9,Canterbury Brookside II,9,http://imgur.com/HCdNBPA.jpg
9,35-11,Hennigan Schoolyard,hennigan-schoolyard,,,,10,6,0,y,"7,528.00",10,Hennigan Schoolyard,10,http://imgur.com/OtzGklq.jpg
10,35-12,Kennebec/Alabamba/Colorado Buffer,kennebecalabambacolorado-buffer,,,,11,15,0,u,"4,119.04",11,Mattahunt Woods Buffer,11,http://imgur.com/w9H3yzh.jpg
11,35-31,Boston Latin Academy Play Area,boston-latin-academy-play-area,,,,7,6,0,y,"1,914.29",12,Boston Latin Academy Play Area,12,http://imgur.com/4l1qqt4.jpg
12,35-32,Franklin Field BHA Green,franklin-field-bha-green,,,,3,6,0,y,"2,845.31",13,Franklin Field BHA Green,13,http://imgur.com/sJbiP3y.jpg
13,35-618,Blue Hill Avenue,blue-hill-avenue,,,,5,7,0,y,"10,225.11",14,Blue Hill Avenue,14,http://imgur.com/nKfSh4g.jpg
14,35-13,Kennebec/Alabama/Colorado Marsh,kennebecalabamacolorado-marsh,,,,11,6,0,y,"52,727.18",15,Kennebec/Alabama/Colorado Marsh,15,http://imgur.com/VjrP5g1.jpg
15,35-14,Mattahunt Schoolyard,mattahunt-schoolyard,,,,10,6,0,y,"13,413.98",16,Mattahunt Schoolyard,16,http://imgur.com/xkTHohL.jpg
16,35-17,State Public Health Campus,state-public-health-campus,,,,3,8,0,y,"82,729.01",18,State Public Health Campus,17,http://imgur.com/EiMKjju.jpg
17,35-18,Mattahunt School Entrance Plaza,mattahunt-school-entrance-plaza,,,,9,6,0,y,"1,487.22",19,Mattahunt School Entrance Plaza,18,http://imgur.com/B8XvECT.jpg
18,35-19,Mattahunt Woods III,mattahunt-woods-iii,,,,11,15,0,u,"2,256.25",20,Currier Woods II,19,http://imgur.com/EZtnn4e.jpg
19,35-20,Mattahunt Woods II,mattahunt-woods-ii,,,,11,6,0,y,"5,804.57",21,Currier Wood I,20,http://imgur.com/Lm6tVoX.jpg
20,35-21,Matthunt Woods IV,matthunt-woods-iv,,,,11,6,0,y,"12,926.35",22,Savannah Woods I,21,http://imgur.com/RZLIbXY.jpg
21,35-22,Mattahunt Woods V,mattahunt-woods-v,,,,11,15,0,u,"2,958.89",23,Savannah Woods II,22,http://imgur.com/AT7yvkD.jpg
22,35-25,Canterbury Brookside I,canterbury-brookside-i,,,,5,8,0,y,"14,473.98",24,Canterbury Brookside I,23,http://imgur.com/6rTPyhG.jpg
23,35-27,Allan Crite Garden II,allan-crite-garden-ii,,,,1,4,0,y,147.4661037,25,Allan Crite Garden II,24,http://imgur.com/hoQg2Ag.jpg
24,35-30,Franklin Field BHA Playground,franklin-field-bha-playground,,,,7,6,0,y,"1,582.05",26,Franklin Field BHA Playground,25,http://imgur.com/Z2dnpeH.jpg
25,243-83,Whiton Ave & Dee Rd,whiton-ave-dee-rd,,,,0,0,0,,"2,281.11",27,Whiton Ave & Dee Rd,26,http://imgur.com/5znU37b.jpg
26,35-33,Carter School Grounds,carter-school-grounds,,,,10,6,0,y,"1,955.63",28,Carter School Grounds,27,http://imgur.com/Zftlsid.jpg
